card_id,arcana,suit,rank,card_title,number_top,title_bottom,image_prompt
MI_CUPS_SIX,Minor,Cups,Six,Six of Cups,,Six of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Six of Cups. Two children share a cup with flower doodles; nostalgic softness."
MI_CUPS_SEVEN,Minor,Cups,Seven,Seven of Cups,,Seven of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Seven of Cups. Seven floating cups, each with a tiny simple icon; dreamy choices; lots of blank space."
MI_CUPS_EIGHT,Minor,Cups,Eight,Eight of Cups,,Eight of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Eight of Cups. Figure walks away from stacked cups toward small mountains; moon overhead."
MI_CUPS_NINE,Minor,Cups,Nine,Nine of Cups,,Nine of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Nine of Cups. Figure sits pleased; nine cups arranged like a rainbow shelf."
MI_CUPS_TEN,Minor,Cups,Ten,Ten of Cups,,Ten of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Ten of Cups. Family under a rainbow; ten cups arcing above; cozy happiness."
MI_CUPS_PAGE,Minor,Cups,Page,Page of Cups,,Page of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Page of Cups. Youth holds a cup; tiny fish pops out; surprised delight."
MI_CUPS_KNIGHT,Minor,Cups,Knight,Knight of Cups,,Knight of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Knight of Cups. Rider carries a cup carefully; gentle wave motion lines; romantic quest."
MI_CUPS_QUEEN,Minor,Cups,Queen,Queen of Cups,,Queen of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Queen of Cups. Queen gazes into ornate cup; puddle reflection becomes a strange dream shape."
MI_CUPS_KING,Minor,Cups,King,King of Cups,,King of Cups,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict King of Cups. King on tiny floating island-throne; cup in hand; calm minimal waves."
MI_SWORDS_ACE,Minor,Swords,Ace,Ace of Swords,,Ace of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Ace of Swords. One toy-like sword held upright by a cloud-hand; crown doodle; clarity."
MI_SWORDS_TWO,Minor,Swords,Two,Two of Swords,,Two of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Two of Swords. Blindfolded figure holds two crossed swords; calm sea and moon doodles."
MI_SWORDS_THREE,Minor,Swords,Three,Three of Swords,,Three of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Three of Swords. Simple heart symbol with three toy swords; rain lines; clean negative space."
MI_SWORDS_FOUR,Minor,Swords,Four,Four of Swords,,Four of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Four of Swords. Figure resting on a bench; three swords on a wall line, one below; recovery."
MI_SWORDS_FIVE,Minor,Swords,Five,Five of Swords,,Five of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Five of Swords. One figure holds swords; two figures walk away; messy feelings, minimal."
MI_SWORDS_SIX,Minor,Swords,Six,Six of Swords,,Six of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Six of Swords. Small boat crosses water; six swords stand like fence posts in the boat; transition."
MI_SWORDS_SEVEN,Minor,Swords,Seven,Seven of Swords,,Seven of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Seven of Swords. Sneaky figure tiptoes carrying five swords; two swords left behind; playful stealth."
MI_SWORDS_EIGHT,Minor,Swords,Eight,Eight of Swords,,Eight of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Eight of Swords. Figure loosely tied with ribbon; eight swords form a soft open cage; path visible."
MI_SWORDS_NINE,Minor,Swords,Nine,Nine of Swords,,Nine of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Nine of Swords. Figure sits up in bed; nine swords float like worry-thought doodles; night."
MI_SWORDS_TEN,Minor,Swords,Ten,Ten of Swords,,Ten of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Ten of Swords. Figure slumped; ten swords stuck in ground behind (symbolic, not gory); dawn line rises."
MI_SWORDS_PAGE,Minor,Swords,Page,Page of Swords,,Page of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Page of Swords. Alert youth holds a sword; wind scribbles; watchful curiosity."
MI_SWORDS_KNIGHT,Minor,Swords,Knight,Knight of Swords,,Knight of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Knight of Swords. Rider charges with sword; dramatic crayon clouds; speed lines."
MI_SWORDS_QUEEN,Minor,Swords,Queen,Queen of Swords,,Queen of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Queen of Swords. Queen holds sword upright; one hand open like ‘speak truth’; sharp but kind."
MI_SWORDS_KING,Minor,Swords,King,King of Swords,,King of Swords,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict King of Swords. King on simple throne; sword centered; clean authority."
MI_PENTACLES_ACE,Minor,Pentacles,Ace,Ace of Pentacles,,Ace of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Ace of Pentacles. Single star-coin offered by a cloud-hand; tiny garden gate near the horizon line."
MI_PENTACLES_TWO,Minor,Pentacles,Two,Two of Pentacles,,Two of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Two of Pentacles. Figure juggles two star-coins with an infinity ribbon; waves doodled behind."
MI_PENTACLES_THREE,Minor,Pentacles,Three,Three of Pentacles,,Three of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Three of Pentacles. Three figures admire a simple mural/wall; three pentacle coins displayed; teamwork."
MI_PENTACLES_FOUR,Minor,Pentacles,Four,Four of Pentacles,,Four of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Four of Pentacles. Figure hugs one coin, stands on two, one balanced on head; clingy but cute."
MI_PENTACLES_FIVE,Minor,Pentacles,Five,Five of Pentacles,,Five of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Five of Pentacles. Two figures in snow pass a glowing window with five pentacles; hardship and hope."
MI_PENTACLES_SIX,Minor,Pentacles,Six,Six of Pentacles,,Six of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Six of Pentacles. Figure gives coins to two others; a scale doodle floats; generosity and balance."
MI_PENTACLES_SEVEN,Minor,Pentacles,Seven,Seven of Pentacles,,Seven of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Seven of Pentacles. Figure studies a plant growing pentacle-fruits; patience; minimal garden."
MI_PENTACLES_EIGHT,Minor,Pentacles,Eight,Eight of Pentacles,,Eight of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Eight of Pentacles. Craftsperson stamps pentacles onto tokens; eight displayed in an imperfect row; focus."
MI_PENTACLES_NINE,Minor,Pentacles,Nine,Nine of Pentacles,,Nine of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Nine of Pentacles. Figure in a cozy garden; nine pentacles hang like ornaments; self-sufficiency."
MI_PENTACLES_TEN,Minor,Pentacles,Ten,Ten of Pentacles,,Ten of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Ten of Pentacles. Family group under an arch; ten pentacles arranged like a warm constellation; legacy."
MI_PENTACLES_PAGE,Minor,Pentacles,Page,Page of Pentacles,,Page of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Page of Pentacles. Youth holds a pentacle coin like a treasure; a sprout doodle; learning."
MI_PENTACLES_KNIGHT,Minor,Pentacles,Knight,Knight of Pentacles,,Knight of Pentacles,"Tarot card illustration, childlike crayon + colored pencil on warm off-white paper, sketchy graphite outlines and scribbly crosshatching, patchwork color blocks, quirky lanky character(s) with big round eyes, simple surreal props/contraptions, tiny doodle flowers near the bottom, dotted/path marks, lots of blank space, thin horizon line, thin rough hand-drawn border frame, centered composition, vintage sketchbook feel, high resolution, no text, no letters, no numbers. Depict Knight of Pentacles. Rider on steady patchwork horse; holds pentacle coin; farmland lines; dependable."
